ingenio,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_producida_total,azucar_producida_refinada,azucar_producida_estandar,azucar_producida_blanca_especial,azucar_producida_mascabado,alcohol_96_gl_producido,miel_final_85_brix_producida,karbe_ton_cana_bruta_teorico,karbe_ton_cana_neta_teorico,extraccion_de_jugo_mezclado_en_cana,extraccion_pol_por_pol_cana,bagazo_en_cana,fibra_en_cana,pol_en_cana,brix_en_jugo_mezclado,pol_en_jugo_mezclado,pza_aparente_jugo_mezclado,pol_en_bagazo,humedad_en_bagazo,materia_extrana_en_cana,perdidas_de_bagazo,perdidas_de_miel_final_producida_y_estimada,perdidas_en_cachaza,perdidas_indeterminadas,perdidas_totales,consumo_de_petroleo_en_pruebas,consumo_de_petroleo_en_molienda,consumo_de_petroleo_en_liquidacion,consumo_de_petroleo_en_fabrica_alcohol,consumo_de_petroleo_total,tiempo_perdido_en_fabrica_h,tiempo_perdido_por_personal_h,tiempo_perdido_por_dias_festivos_h,tiempo_perdido_en_campo_h,tiempo_perdido_por_lluvias_h,tiempo_perdido_total_h,eficiencia_en_fabrica,cluster,cluster_name,class_id
ingenio_azsuremex_s.a._de_c.v.,65723.84111111112,65723.91333333333,1189.951111111111,5798.605555555555,0.0,5798.605555555555,0.0,0.0,0.0,1221.3483333333334,97.15083022222223,97.15088888888889,85.79744444444445,87.23866666666667,37.37488888888889,16.251777777777775,11.885777777777777,14.847111111111111,12.085,81.40288888888888,4.058444444444444,51.30477777777778,6846.667222222222,973.3354444444444,470.7438888888889,71.36644444444444,399.39444444444445,1914.8404444444443,97070.0,182247.11111111112,0.0,0.0,279317.1111111111,193.96296296296293,0.0,2.6666666666666665,53.22222222222222,152.82407407407408,402.6759259259259,73.84611111111111,1,Especialistas,2
ingenio_calipam_s.a._de_c.v.,32837.504,32480.233799999998,463.76000000000005,2529.92,0.0,2529.92,0.0,0.0,0.0,1377.0608,95.47638520000001,96.5666,62.6736,71.2474,29.7262,16.741,12.1174,17.8122,10.9588,76.7838,2.8398,49.619600000000005,264.4666,432.5032,463.02879999999993,106.64880000000001,187.2202,1189.401,82280.0,283205.6,20144.4,0.0,385630.0,179.76666666666665,5.116666666666666,0.0,5.0,20.4,210.28333333333336,70.5304,1,Especialistas,2
ingenio_constancia_s.a._de_c.v.,434604.18769230775,413561.31676923076,6384.191576923077,44400.09038461539,0.0,44400.09038461539,0.0,0.0,0.0,10335.541961538462,101.35077315384615,106.40996153846154,95.72749999999999,90.73692307692308,25.48646153846154,12.3605,12.155653846153847,14.357461538461537,11.072384615384616,80.26169230769231,2.4772307692307693,49.734,19629.959384615384,2954.509538461539,3690.908346153846,1287.0691153846153,427.0195769230769,8359.506576923077,0.0,0.0,63.69230769230769,0.0,63.69230769230769,158.81089743589743,7.6410256410256405,0.0,64.9673076923077,240.07051282051282,510.41987179487177,83.38334615384616,2,Eficientes,1
ingenio_de_huixtla_s.a._de_c.v.,597058.78,555176.4523913043,7034.547391304348,60651.66956521739,0.0,60651.66956521739,0.0,0.0,0.0,22092.341391304348,97.86875982608696,104.5433043478261,4.150347826086956,4.117347826086957,1.2126521739130434,12.773130434782608,12.392304347826087,15.861782608695654,0.549391304347826,79.10156521739131,2.2971304347826087,50.64304347826087,3789.2876956521736,3848.8995217391303,6528.34752173913,630.4320434782609,2557.9954347826088,13565.67452173913,0.0,249222.13043478262,1422.2173913043478,0.0,250644.34782608695,349.2557971014493,0.9065217391304349,0.0,55.583333333333336,1.1021739130434782,406.8478260869565,81.25082608695652,2,Eficientes,1
ingenio_de_puga_s.a.,823774.7660666667,803454.0333333333,8252.372666666666,91592.825,80364.45166666666,0.0,11228.373333333333,0.0,0.0,31408.878666666667,108.18662666666667,110.91260000000001,98.35883333333332,95.93546666666666,28.339666666666666,13.055399999999999,12.961900000000002,15.581199999999999,12.637733333333333,81.0719,1.85,51.30733333333333,20320.7686,4296.847966666666,9923.9102,1232.1127999999999,2080.6471666666666,17533.518133333335,293200.0,575135.3,267.6,0.0,868602.9,239.29444444444442,16.283333333333335,0.0,67.525,178.59444444444446,501.7,83.1263,0,Gigantes,0
ingenio_el_carmen_s.a._de_c.v.,144914.65777777776,140749.6996111111,2213.6666666666665,12484.722222222223,12484.722222222223,0.0,0.0,0.0,0.0,4804.75,98.64874449999999,101.53127777777779,4.8822777777777775,5.1770555555555555,1.6258333333333335,13.695777777777778,11.855055555555555,16.627388888888888,0.7244444444444444,81.29383333333334,2.8417777777777777,50.55455555555555,438.6181666666667,1226.4735,1880.3553888888887,304.8069444444444,813.8955,4225.531555555555,40489.0,1299181.611111111,4278.388888888889,0.0,1262016.1666666667,33.68055555555556,7.722222222222222,11.851851851851853,410.18055555555554,499.40740740740745,962.8425925925926,76.22033333333334,1,Especialistas,2
ingenio_el_higo_s.a._de_c.v.,929191.4321212121,875419.3608787878,12788.873,95797.9559090909,0.0,95797.9559090909,0.0,0.0,0.0,28851.944,102.67785878787879,108.88345454545454,87.86996969696969,91.64436363636364,29.990666666666666,13.127818181818183,12.122272727272728,15.139787878787878,12.262939393939394,83.4549393939394,2.0873636363636363,54.64506060606061,50593.14509090909,6310.679272727272,9202.433727272728,708.905,1102.5073333333332,17324.52566666667,0.0,0.0,0.0,0.0,0.0,161.5,27.66919191919192,0.0,45.67171717171718,438.6540404040404,713.780303030303,84.11954545454546,0,Gigantes,0
ingenio_el_molino_s.a._de_c.v.,1011163.1240000001,994304.026,10131.5,122240.95,0.0,122240.95,0.0,0.0,0.0,38018.56,60.2012165,61.2245,49.9335,48.0045,13.684,12.8215,14.2325,16.482,6.8395,83.184,2.1385,50.468500000000006,8538.0755,5516.933999999999,9882.264500000001,1582.25,2525.6615,19507.112,0.0,0.0,0.0,0.0,0.0,378.58333333333337,8.0,0.0,43.45833333333333,303.125,733.1666666666667,84.9765,0,Gigantes,0
ingenio_el_refugio_s.a._de_c.v,157007.16999999998,150180.2276451613,2257.648,15021.894225806453,0.0,13046.462967741936,0.0,1975.4312903225807,0.0,5365.476709677419,101.95030774193548,106.46425806451613,56.914580645161294,59.72225806451613,18.640064516129033,12.943870967741935,12.225225806451613,15.041548387096775,8.694709677419356,80.80503225806451,2.666903225806452,50.86196774193549,3798.655870967742,1219.4806129032256,1716.3460322580645,304.14948387096774,819.5196129032258,4059.4958064516127,0.0,0.0,0.0,0.0,0.0,178.502688172043,16.54569892473118,0.0,32.553763440860216,377.41666666666663,605.0188172043011,78.61370967741935,1,Especialistas,2
ingenio_jose_maria_morelos_s._a._de_c._v.,340041.8829166666,330145.5233333334,4773.864583333333,34338.385416666664,0.0,34338.385416666664,0.0,0.0,0.0,11954.032500000001,100.18835195833333,103.196125,96.38116666666667,95.45933333333333,27.712625,12.683041666666666,11.993333333333332,14.687125,11.879624999999999,80.855625,1.9642916666666668,51.41166666666667,9896.359583333333,1982.53225,3823.512625,641.1869583333333,628.7977500000001,7076.029583333333,0.0,0.0,478.7083333333333,0.0,478.7083333333333,101.73958333333333,16.92361111111111,0.0,14.510416666666666,181.13194444444443,314.30555555555554,82.677875,2,Eficientes,1
ingenio_la_gloria_s.a.,730588.0289473685,701500.9703157895,8566.881578947368,81953.71852631579,0.0,70909.45494736843,0.0,11044.263578947368,0.0,23792.978368421056,112.7204957368421,117.32457894736842,99.08778947368421,96.43673684210526,26.504789473684212,13.190473684210525,13.311315789473683,15.519368421052631,12.957157894736843,83.48563157894738,1.7897894736842106,47.666315789473686,29087.058631578944,3517.557052631579,8346.332789473685,1327.514736842105,2004.2585789473685,15195.663157894736,0.0,0.0,0.0,0.0,0.0,116.34912280701754,9.92982456140351,22.975438596491227,75.85964912280701,56.570175438596486,281.6842105263158,83.50363157894736,2,Eficientes,1
ingenio_la_margarita_s.a._de_c.v.,498580.45192307694,487829.72326923074,9688.917692307692,56345.54615384615,0.0,54800.73269230769,0.0,1544.8134615384615,0.0,14103.704153846154,111.92813396153846,114.3866153846154,94.34388461538461,91.80084615384615,27.749000000000002,13.899269230769232,13.277192307692307,15.465307692307693,12.404961538461539,83.54507692307692,1.9998076923076922,48.84753846153846,9983.19796153846,3066.1172307692304,5169.843307692308,1037.1327307692309,1422.9541538461538,10696.047423076923,0.0,0.0,0.0,0.0,0.0,116.25961538461539,22.828205128205127,0.0,22.809615384615384,290.83141025641027,452.7288461538462,83.92365384615384,2,Eficientes,1
ingenio_lazaro_cardenas_s.a._de_c.v,207295.70056000003,203498.53628,2446.28932,23595.222,17509.254,6085.968000000001,0.0,0.0,0.0,7027.15848,116.15068648,118.09328,3.94132,3.8734800000000003,0.92384,10.73876,13.291279999999999,15.21992,0.5322399999999999,86.01016,1.76172,51.08312,293.38644,869.58856,2270.96416,181.2962,463.53052,3785.37928,0.0,0.0,0.0,0.0,0.0,40.50666666666667,13.77,0.0,58.85666666666667,97.46,210.59333333333333,85.89844000000001,2,Eficientes,1
ingenio_mahuixtlan_s.a._de_c.v,240927.46848387097,234740.56758064515,2563.89,24688.565322580645,0.0,24688.565322580645,0.0,0.0,0.0,6570.049677419355,102.43265774193549,105.07774193548387,89.42277419354838,94.23183870967742,27.14961290322581,12.716290322580644,12.048935483870968,15.18774193548387,12.697032258064516,83.60083870967743,2.559387096774193,49.94451612903226,6209.265677419355,1650.988935483871,2208.5879354838708,167.04500000000002,302.9580967741935,4329.580064516129,0.0,0.0,0.0,0.0,0.0,37.11021505376344,18.473118279569892,0.0,53.236559139784944,755.1962365591397,864.016129032258,84.94912903225806,2,Eficientes,1
ingenio_melchor_ocampo_s.a._de_c.v.,586134.3286666666,554741.3493333333,4601.766666666666,66694.95333333334,0.0,66694.95333333334,0.0,0.0,0.0,22479.256366666665,114.24941146666667,120.68033333333332,94.14786666666667,95.834,28.295666666666666,12.566033333333333,13.373166666666666,16.160833333333333,13.612400000000001,84.2209,1.9652333333333334,52.81303333333334,31392.975333333332,3274.9016666666666,7518.716333333333,680.4931666666666,1082.9298333333334,12557.041066666667,0.0,0.0,0.0,0.0,0.0,80.625,7.247222222222222,0.0,7.555555555555555,213.88055555555556,309.30833333333334,83.61766666666668,2,Eficientes,1
ingenio_panuco_s._a._p._i._de_c._v.,844522.0620625,803139.7221875,9830.993125,85759.9640625,0.0,51616.928125,0.0,34143.0359375,0.0,25058.8699375,103.69064603125,108.94534374999999,97.3895,94.62715625,30.351,14.465375,12.7001875,15.55375,12.3401875,79.34190625,2.24653125,49.44125,41382.339875,5874.4076562499995,8629.5756875,794.6588125,6240.91146875,21539.553625,0.0,0.0,0.0,0.0,0.0,258.24583333333334,2.0453125,0.0,40.924479166666664,384.9557291666667,686.1713541666667,79.87146875,0,Gigantes,0
ingenio_pedernales_s.a._de_c.v.,192567.64769565218,190474.49973913044,2141.365217391304,23327.043478260868,0.0,6582.532608695652,16744.510869565216,0.0,0.0,6542.51652173913,118.85129369565219,120.14221739130436,97.6647391304348,94.33760869565216,30.815217391304348,14.545521739130436,14.171130434782608,16.400652173913045,13.686521739130436,83.44960869565217,2.6022173913043476,49.441478260869566,2093.147956521739,1542.0380000000002,2007.169956521739,187.3701739130435,398.9570869565217,4135.535217391304,0.0,0.0,0.0,0.0,0.0,105.7536231884058,26.699275362318843,0.0,121.69565217391305,92.8913043478261,347.0398550724638,84.5455652173913,2,Eficientes,1
ingenio_plan_de_ayala_s.a._de_c.v.,641701.4690303031,612567.9373636363,10016.56303030303,64075.234242424245,64075.234242424245,0.0,0.0,0.0,1.121212121212121,19063.84096969697,107.09727048484848,112.19221212121212,94.5130909090909,95.57284848484848,27.104545454545455,12.617030303030305,12.689060606060606,15.570666666666666,12.827636363636364,82.37324242424242,2.0726060606060606,50.407878787878786,29133.53166666667,3774.779,6656.662969696969,1085.8198484848485,5424.923606060605,16942.185424242423,29500.0,857271.4242424242,0.0,0.0,857044.1515151515,123.1010101010101,10.101010100989898,0.0,63.62626262626262,462.20959595959596,659.3282828282828,79.73539393939394,0,Gigantes,0
